conflict_level,entropy_level,run_idx,seed_run,m_vide_emetteur,m_vide_recepteur
0.8,0.2,30,42030,0.8,0.8062365376949311
0.8,0.2,31,42031,0.8,0.7990610587596894
0.8,0.2,32,42032,0.8,0.7972879195213318
0.8,0.2,33,42033,0.8,0.799847857952118
0.8,0.2,34,42034,0.8,0.7991726255416871
0.8,0.2,35,42035,0.8,0.809659036397934
0.8,0.2,36,42036,0.8,0.8001458811759949
0.8,0.2,37,42037,0.8,0.8066729283332825
0.8,0.2,38,42038,0.8,0.8057271373271943
0.8,0.2,39,42039,0.8,0.8002638232707978
0.8,0.2,40,42040,0.8,0.8085501527786255
0.8,0.2,41,42041,0.8,0.7992431831359864
0.8,0.2,42,42042,0.8,0.803042392730713
0.8,0.2,43,42043,0.8,0.8080229318141938
0.8,0.2,44,42044,0.8,0.7967888116836548
0.8,0.2,45,42045,0.8,0.8035642397403717
0.8,0.2,46,42046,0.8,0.7944518411159516
0.8,0.2,47,42047,0.8,0.7953044843673707
0.8,0.2,48,42048,0.8,0.7990419864654541
0.8,0.2,49,42049,0.8,0.7907002902030945
0.8,1.0,0,42000,0.8,0.8086944854259491
0.8,1.0,1,42001,0.8,0.8025387990474702
0.8,1.0,2,42002,0.8,0.80486518740654
0.8,1.0,3,42003,0.8,0.7927804863452912
0.8,1.0,4,42004,0.8,0.8023815035820008
0.8,1.0,5,42005,0.8,0.8096407759189607
0.8,1.0,6,42006,0.8,0.7933802545070648
0.8,1.0,7,42007,0.8,0.8036474025249482
0.8,1.0,8,42008,0.8,0.8023915195465088
0.8,1.0,9,42009,0.8,0.7921629774570466
0.8,1.0,10,42010,0.8,0.8075444126129151
0.8,1.0,11,42011,0.8,0.7940972006320954
0.8,1.0,12,42012,0.8,0.8067111885547639
0.8,1.0,13,42013,0.8,0.8048569405078888
0.8,1.0,14,42014,0.8,0.8010196566581727
0.8,1.0,15,42015,0.8,0.801583354473114
0.8,1.0,16,42016,0.8,0.8067698073387146
0.8,1.0,17,42017,0.8,0.802950086593628
0.8,1.0,18,42018,0.8,0.7968855011463166
0.8,1.0,19,42019,0.8,0.8080224609375001
0.8,1.0,20,42020,0.8,0.7955982661247254
0.8,1.0,21,42021,0.8,0.803524980545044
0.8,1.0,22,42022,0.8,0.8021584308147431
0.8,1.0,23,42023,0.8,0.7955968081951141
0.8,1.0,24,42024,0.8,0.8026532030105591
0.8,1.0,25,42025,0.8,0.8019131684303284
0.8,1.0,26,42026,0.8,0.7931552004814149
0.8,1.0,27,42027,0.8,0.7908530545234681
0.8,1.0,28,42028,0.8,0.7938099849224091
0.8,1.0,29,42029,0.8,0.8019872176647187
0.8,1.0,30,42030,0.8,0.8062365376949311
0.8,1.0,31,42031,0.8,0.7990610587596894
0.8,1.0,32,42032,0.8,0.7972879195213318
0.8,1.0,33,42033,0.8,0.799847857952118
0.8,1.0,34,42034,0.8,0.7991726255416871
